Community,mean_monthly_jsd,median_monthly_jsd,max_monthly_jsd,n_transitions,jsd_pre_covid,jsd_covid_post,jsd_pre_post,shift_type,acs_year,total_population,occupied_housing_units,total_housing_units,poverty_rate,unemployment_rate,bachelors_plus_rate,renter_rate,owner_rate,vacancy_rate,white_non_hispanic_rate,black_non_hispanic_rate,asian_non_hispanic_rate,hispanic_rate,median_household_income_approx,volatility_group
59,0.2440565684048119,0.2405196320053333,0.3837677066923843,71.0,0.12694292803435298,0.11710897526371356,0.1158691648771341,Temporary disruption,2023,57423,19212,20795,0.1817536025979297,0.0836407491486946,0.2784118154790448,0.4485217572350614,0.5514782427649386,0.0761240682856456,0.195757797398255,0.1364087560733504,0.1374536335614649,0.5132089929122478,73700.11435561108,High
6,0.10365608961396357,0.10011764781717174,0.1716257075566149,71.0,0.06103267501183523,0.05672374436587009,0.08233458596771909,Low change,2023,158239,86581,93714,0.0846784981717649,0.0343408767210001,0.8131367248030068,0.6119240942008062,0.3880759057991938,0.076114561324882,0.7267993351828563,0.0565220963226511,0.0725674454464449,0.1020608067543399,114060.50820618845,Low
60,0.19261919152492052,0.19235102303314422,0.3041887862299682,71.0,0.08755390311857507,0.0986951719848394,0.11197728421860302,Low change,2023,60360,24361,26334,0.1751890171110227,0.0682387619749447,0.3471748412895646,0.4952998645375805,0.5047001354624194,0.0749221538695222,0.2535785288270378,0.0670477137176938,0.4059145129224652,0.2458250497017892,68429.74639793111,Mid-high
61,0.1151804485207968,0.11146847495430191,0.20796671516509274,71.0,0.09983688728645908,0.08445740658735253,0.14216973538262093,Low change,2023,93921,33064,37488,0.257554710206873,0.1214210893854748,0.1789276095650044,0.5490261311396081,0.450973868860392,0.1180110968843363,0.1057378009177926,0.2311517126095335,0.0571544170100403,0.5948829335292427,56728.52219191669,Mid-low
62,0.264641410745598,0.2622276989613207,0.37586802955225845,71.0,0.11670920060060476,0.09172292696159133,0.1508349812923723,Persistent shift,2023,46312,14300,14809,0.098911839447449,0.0744042365401588,0.1548981571290009,0.3558741258741258,0.6441258741258741,0.0343709906138159,0.1043358092934876,0.0242485748833995,0.0239678700984626,0.8458714803938504,71726.75447552447,High
63,0.16451546071878015,0.15998256936642888,0.24921780659360246,71.0,0.08841631725514008,0.08084113642024204,0.1114141406872936,Low change,2023,77423,23185,24688,0.1626396229853932,0.1259160928123012,0.117394519534941,0.4527064912659047,0.5472935087340953,0.0608797796500324,0.0415638763674877,0.0871575629980755,0.0166100512767523,0.8511940896116141,56485.83666163468,Mid-high
64,0.2179358916689209,0.22171244086749775,0.316692175562007,71.0,0.09951744730841874,0.12350071362317985,0.12595999001824873,Low change,2023,81279,28786,30169,0.0901098901098901,0.0699092666964152,0.2032037437005039,0.2446328076148127,0.7553671923851872,0.0458417580960588,0.2926955302107555,0.0241882897181313,0.0139765499083404,0.6597522115183504,76238.19304523032,High
65,0.17884558054754013,0.17550579721897963,0.27818908931475733,71.0,0.10437815543525371,0.11501159012284402,0.12517054010131892,Temporary disruption,2023,84230,25533,26738,0.158233075956186,0.0900491310405514,0.1486894688455693,0.2889593858927662,0.7110406141072337,0.0450669459196649,0.123768253591357,0.0670663659028849,0.012620206577229,0.7912382761486406,69110.90087337955,Mid-high
66,0.10564308026635318,0.10669401222280882,0.181848535546251,71.0,0.08176239364260782,0.07634518589504066,0.10701240421955077,Low change,2023,97363,30723,33372,0.2093827313851536,0.1214744102130769,0.119107814111307,0.4260651629072681,0.5739348370927319,0.0793779216109313,0.0281523782134897,0.2842147427667594,0.0056592340005957,0.6625925659644835,53672.28825310028,Low
67,0.10011364899578276,0.09573334524421566,0.14862563951803884,71.0,0.08998056316735015,0.07228795552987659,0.12684550329836905,Low change,2023,60250,22081,27496,0.2917269236523213,0.1745638849599245,0.115188298331598,0.5304107603822291,0.4695892396177709,0.1969377363980215,0.0092116182572614,0.6731120331950208,0.0083485477178423,0.2928962655601659,40054.51938348762,Low
68,0.09317240741016966,0.09089694573250041,0.13571429512554642,71.0,0.09069222062459179,0.09285155623670902,0.14330302284903662,Low change,2023,49080,20494,27006,0.3238623476772717,0.1814697710069943,0.1410734362980058,0.7202107934029472,0.2797892065970528,0.2411316003850996,0.0214343928280358,0.8582925835370823,0.0084963325183374,0.0939894050529747,33728.31199375427,Low
