Community,state_id,lag_months,correlation,n_start_points
11,12,34,0.0,2
11,12,35,0.0,2
11,12,36,0.0,2
11,17,1,0.3730769230769231,29
11,17,2,0.31988188976377957,28
11,17,3,0.2842741935483871,27
11,17,4,0.2603305785123967,26
11,17,5,0.22391304347826085,25
11,17,6,0.15434782608695652,25
11,17,7,0.22173913043478263,25
11,17,8,0.23043478260869565,25
11,17,9,0.2521739130434783,25
11,17,10,0.3304347826086957,25
11,17,11,0.37391304347826093,25
11,17,12,0.5173913043478261,25
11,17,13,0.3304347826086957,25
11,17,14,0.26605504587155965,24
11,17,15,0.2706422018348624,24
11,17,16,0.22330097087378642,23
11,17,17,0.23,22
11,17,18,0.275,22
11,17,19,0.32500000000000007,22
11,17,20,0.19000000000000003,22
11,17,21,0.37,22
11,17,22,0.38000000000000006,22
11,17,23,0.3516666666666667,22
11,17,24,0.31382978723404253,21
11,17,25,0.2872340425531915,21
11,17,26,0.2443181818181818,20
11,17,27,0.21590909090909088,20
11,17,28,0.2443181818181818,20
11,17,29,0.19318181818181818,20
11,17,30,0.28409090909090906,20
11,17,31,0.2443181818181818,20
11,17,32,0.20454545454545456,20
11,17,33,0.4090909090909091,20
11,17,34,0.34090909090909094,20
11,17,35,0.34756097560975613,19
11,17,36,0.3618421052631579,18
11,18,1,0.0,9
11,18,2,0.0,9
11,18,3,0.0,9
11,18,4,0.2692307692307692,9
11,18,5,0.15384615384615385,9
11,18,6,0.038461538461538464,9
11,18,7,0.0,8
11,18,8,0.08333333333333333,8
11,18,9,0.16666666666666666,8
11,18,10,0.08333333333333333,8
11,18,11,0.09090909090909091,7
11,18,12,0.09090909090909091,7
11,18,13,0.0,7
11,18,14,0.0,7
11,18,15,0.0,7
11,18,16,0.09090909090909091,7
11,18,17,0.18181818181818182,7
11,18,18,0.0,7
11,18,19,0.09090909090909091,7
11,18,20,0.09090909090909091,7
11,18,21,0.18181818181818182,7
11,18,22,0.09090909090909091,7
11,18,23,0.13636363636363635,7
11,18,24,0.0,7
11,18,25,0.0,7
11,18,26,0.2727272727272727,7
11,18,27,0.045454545454545456,7
11,18,28,0.045454545454545456,7
11,18,29,0.045454545454545456,7
11,18,30,0.2222222222222222,6
11,18,31,0.0,6
11,18,32,0.0,6
11,18,33,0.05555555555555555,6
11,18,34,0.0625,5
11,18,35,0.0,5
11,18,36,0.0,5
12,1,1,0.313953488372093,16
12,1,2,0.10465116279069768,16
12,1,3,0.13125,15
12,1,4,0.18750000000000003,15
12,1,5,0.2625,15
12,1,6,0.3875,15
12,1,7,0.30000000000000004,15
12,1,8,0.18750000000000003,15
12,1,9,0.11250000000000002,15
12,1,10,0.07500000000000001,15
12,1,11,0.11250000000000002,15
12,1,12,0.08750000000000001,15
12,1,13,0.2,15
12,1,14,0.35000000000000003,15
12,1,15,0.1375,15
12,1,16,0.0,14
12,1,17,0.0,13
12,1,18,0.17647058823529413,13
12,1,19,0.29411764705882354,13
12,1,20,0.4117647058823529,13
12,1,21,0.24193548387096778,12
12,1,22,0.2142857142857143,11
