state_id,lag_months,mean_correlation,sd_correlation,n_communities,n_start_points
5,22,0.33043376271048147,0.2869403661646308,38.0,161.0
5,23,0.2635947260257605,0.25157204734992217,38.0,150.0
5,24,0.28140743157376014,0.3097817181541389,38.0,135.0
5,25,0.3276730752193326,0.31808803586305123,36.0,123.0
5,26,0.28963121405045184,0.28000608657738696,34.0,114.0
5,27,0.30722532184796336,0.294029499308508,34.0,106.0
5,28,0.2709180745683292,0.2367420519648918,32.0,95.0
5,29,0.3025343831795445,0.3501184937459649,31.0,91.0
5,30,0.20579209652037067,0.2505071742403205,30.0,86.0
5,31,0.2778917220990392,0.26089795601916027,29.0,82.0
5,32,0.3597916666666666,0.3750659401977768,29.0,80.0
5,33,0.303919191919192,0.31227406552164266,28.0,75.0
5,34,0.31333760136577044,0.2922569243547563,28.0,71.0
5,35,0.28739316239316237,0.3093705222669524,27.0,66.0
5,36,0.2882486979166667,0.39805719638794745,27.0,64.0
6,1,0.29594153126037537,0.1920807150671969,48.0,318.0
6,2,0.2741732882062498,0.18821262239977732,48.0,318.0
6,3,0.20708649536342882,0.1448733785154218,48.0,318.0
6,4,0.2259934369891767,0.15824405777932826,48.0,317.0
6,5,0.20699780196894885,0.16277286674981564,48.0,316.0
6,6,0.22834838343806735,0.1552540630732697,48.0,315.0
6,7,0.21244036145353207,0.14726508379872005,48.0,314.0
6,8,0.22384484865742732,0.15494416887587337,48.0,313.0
6,9,0.19663885166012457,0.14814381242203156,48.0,311.0
6,10,0.21438808713053267,0.15172299687403853,48.0,310.0
6,11,0.19344105666375352,0.13719285503564455,48.0,308.0
6,12,0.20671014623622697,0.1407954156526373,48.0,306.0
6,13,0.15528923387027604,0.12155580353797059,48.0,305.0
6,14,0.16902624018909435,0.13037502813939628,48.0,305.0
6,15,0.1569604831259597,0.11825982713049188,48.0,303.0
6,16,0.15974510138495285,0.12293195314562719,48.0,303.0
6,17,0.12874440870282586,0.11162347180516402,48.0,301.0
6,18,0.1545457647409483,0.12101507787432397,48.0,301.0
6,19,0.13371963639933596,0.11322902558875415,48.0,299.0
6,20,0.1258706430737102,0.11228612613681256,48.0,295.0
6,21,0.10997979995721724,0.09765185881908224,48.0,294.0
6,22,0.11174965152230304,0.1130822919054905,48.0,293.0
6,23,0.10994359461636283,0.1053799136819642,48.0,293.0
6,24,0.10541237051090525,0.11835135539755182,48.0,292.0
6,25,0.08304398135007979,0.09214116272773716,48.0,292.0
6,26,0.0774082716393922,0.08936277551150427,48.0,292.0
6,27,0.07399761978810665,0.08686521055356174,48.0,289.0
6,28,0.06985778708266746,0.09335544492485938,48.0,286.0
6,29,0.06481183330626139,0.09642863309209856,48.0,285.0
6,30,0.06989917801358662,0.09511485364852507,48.0,281.0
6,31,0.07851848351375838,0.1025512416270432,48.0,279.0
6,32,0.04799950452124365,0.08533572771014569,48.0,276.0
6,33,0.059611286795424843,0.08678514031753004,48.0,271.0
6,34,0.053782298597016095,0.08915721638177135,48.0,266.0
6,35,0.06378454308519815,0.1067565157883636,47.0,263.0
6,36,0.06928589989732818,0.11791994140018151,47.0,261.0
7,1,0.126884397260131,0.10039412166614307,56.0,301.0
7,2,0.12432109039639437,0.11566921711660096,56.0,301.0
7,3,0.09869163237452228,0.09755844446463564,56.0,301.0
7,4,0.10249308219817349,0.09990297766749441,56.0,300.0
7,5,0.11554149558831595,0.10470332658950843,56.0,300.0
7,6,0.09285581663148336,0.08002378256708687,56.0,299.0
7,7,0.09140705435531296,0.08002796433674063,56.0,299.0
7,8,0.10217369935093851,0.11436002453698628,56.0,299.0
7,9,0.07806844350976454,0.07743618830860778,56.0,299.0
7,10,0.10419409259112847,0.0948361698692973,56.0,298.0
7,11,0.0681479692987494,0.08438960272836046,56.0,295.0
7,12,0.06495696529424849,0.07154226880313638,56.0,294.0
7,13,0.09418692041395273,0.09684203105145428,56.0,293.0
7,14,0.09288733520508961,0.08232509388871177,56.0,293.0
7,15,0.06745816407836427,0.07690436995250742,56.0,293.0
7,16,0.08349270110466907,0.08202808414732966,56.0,293.0
7,17,0.086649481070007,0.0796294534876698,55.0,291.0
7,18,0.0684524766924889,0.06734554387003622,55.0,289.0
7,19,0.0692401679333367,0.0678606425862756,54.0,285.0
7,20,0.05054956362234892,0.053048382355123436,54.0,279.0
7,21,0.07041110615323043,0.06305458918480157,54.0,272.0
7,22,0.06663596977830209,0.08428604016924345,54.0,267.0
7,23,0.04732499518458343,0.04894397642051942,54.0,264.0
7,24,0.050333208148710895,0.06939017635600109,54.0,260.0
7,25,0.03237965309084005,0.1388884378772208,54.0,259.0
7,26,0.053880897115112736,0.07235673843285466,54.0,256.0
7,27,0.033833670139101664,0.049315805357500596,54.0,254.0
7,28,0.07469624645424347,0.08493930096645384,54.0,248.0
7,29,0.05388542230347477,0.059072233463768865,54.0,240.0
7,30,0.06115063159138405,0.07045762788313412,54.0,234.0
7,31,0.04853254284022197,0.06843578911240236,53.0,228.0
7,32,0.057813723273141555,0.09220868260087589,52.0,221.0
7,33,0.08137548157895368,0.1360650751065074,51.0,217.0
7,34,0.05593084481199524,0.10137285562996792,51.0,213.0
7,35,0.05191715347227071,0.060105046452139946,51.0,204.0
7,36,0.048156266769642984,0.08472144294891985,50.0,199.0
8,1,0.4689816500753802,0.27047359529048215,42.0,364.0
8,2,0.40153002498147683,0.24846231128140278,41.0,350.0
8,3,0.373554675540071,0.2426932759956258,41.0,331.0
8,4,0.3871094804191401,0.24792806714591678,41.0,309.0
8,5,0.39665080393143937,0.25664007186549564,41.0,295.0
